Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
"Laptop Lenovo IdeaPad 5i 14"" Intel Core i5 1135G7 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-5i-14-intel-core-i5-1135g7-256gb-ssd-8gb-ram;2899;2899;IdeaPad 5i;LENOVO;Intel Iris Xe Graphics;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;LPDDR4;Hiraoka;2600-3000;2600-3000;2
Laptop ASUS X571GT-HN1020T 15.6'' Intel Core i5 9na generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-asus-x571gt-hn1020t-15-6---intel-core-i5-9na-generacion-8gb-512gb-ssd-1000208209/p;5499;2899;X571GT-HN1020T;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;IPS;;Oechsle;5200-6200;2600-3000;2
"Laptop Dell Inspiron 3511 YY3P3 15.6"" Intel Core i5-1135G7 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-dell-inspiron-3511-yy3p3-15-6-intel-core-i5-1135g7-256gb-ssd-8gb-ram;2999;2799;Inspiron 3511 DNH4W;DELL;Intel Iris Xe Graphics;Intel Core i5;8GB;15.6'';SSD/M2;512GB;FHD;DDR4;Hiraoka;2600-3000;2600-3000;2
Laptop ASUS X415JA-EB1361W 14'' Intel Core i5 10ma generacion 8GB 256GB SS;https://www.oechsle.pe/laptop-asus-x415ja-eb1361w-14---intel-core-i5-10ma-generacion-8gb-256gb-ssd-1000194817/p;2899;2699;X415JA-EB1361W;ASUS;Intel;Intel Core i5;8GB;14'';SSD;256GB;IPS;;Oechsle;2600-3000;2600-3000;2
"Laptop ecologica Aspire Vero 15."" Core i5 1155G7 8GB RAM 512GB SSD";https://www.oechsle.pe/laptop-ecologica-aspire-vero-15-6-core-i5-1155g7-8gb-ram-512gb-ssd-1994209/p;3719;2699;AV15-51-567Y;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;LED IPS;DDR4;Oechsle;3400-3800;2600-3000;2
Laptop ASUS X415JA-EB1361W 14'' Intel Core i5 10ma generacion 8GB 256GB SSD;https://www.plazavea.com.pe/laptop-asus-x415jaeb1361w-14-intel-core-i5-10ma-generacion-8gb-256gb-ssd/p;2699;2699;X415JA-EB1361W;ASUS;Intel;Intel Core i5;8GB;14'';SSD;256GB ;FHD IPS;;Plazavea;2600-3000;2600-3000;2
"Laptop Acer 15.6"" Aspire 3 Intel Core i5 1135G7 8GB RAM 512GB SSD";https://www.oechsle.pe/laptop-acer-15-6-aspire-3-intel-core-i5-1135g7-8gb-ram-512gb-ssd-2076606/p;3199;2549;A315-58-5170;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;LED IPS;;Oechsle;3000-3400;2200-2600;2
Matebook HUAWEI NobelB-WAH9E 14'' Intel Core i5 10ma generacion 8GB 512GB SSD;https://www.plazavea.com.pe/matebook-huawei-nobelbwah9e-14-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p;2449;2449;NobelB-WAH9E;HUAWEI;Intel;Intel Core i5;8GB;14'';SSD;512GB;IPS;;Plazavea;2200-2600;2200-2600;2
"Laptop Lenovo IdeaPad 5 14"" AMD Ryzen 5 - 5500U 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-5-14-amd-ryzen-5-5500u-256gb-ssd-8gb-ram;2699;2399;A315-57G-53R9;LENOVO;NVIDIA GeForce RTX 3050;Intel Core i5;8GB;15.6'';SSD;256GB;FHD;DDR4;Hiraoka;2600-3000;2200-2600;2
"Laptop Asus X415JA-EB1361W 14"" Intel Core i5-1035G1 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-x415ja-eb1361w-14-intel-core-i5-1035g1-256gb-ssd-8gb-ram;2999;2399;X415JA-EB1361W;ASUS;Intel UHD Graphics;Intel Core i5;8GB;14'';SSD;256GB;FHD;DDR4;Hiraoka;2600-3000;2200-2600;2
Laptop ASUS X515EA-EJ921W 15.6'' Intel Core i5 11va generacion 8GB 512GB SS;https://www.oechsle.pe/laptop-asus-x515ea-ej921w-15-6---intel-core-i5-11va-generacion-8gb-512gb-ssd-1000177836/p;3899;2399;X515EA-EJ921W;ASUS;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;;Oechsle;3800-4200;2200-2600;2
"Laptop ASUS 14"" X415JA-EB1361W Core i5 8GB DDR4 RAM 256GB SSD Silver";https://www.oechsle.pe/laptop-asus-14-x415ja-eb1361w-core-i5-8gb-ddr4-ram-256gb-ssd-silver-2091494/p;3499;2299;X415JA-EB1361W;ASUS;Intel;Intel Core i5;8GB;14'';SSD;256GB;FHD;;Oechsle;3400-3800;2200-2600;2
"Laptop Acer Aspire 5 Intel Core i5-10210U 256GB SSD 8GB RAM 15.6"" FreeDos";https://www.oechsle.pe/laptop-acer--aspire-5-intel-core-i5-10210u-256gb-ssd-8gb-ram-15-6--freedos-1000264161/p;2600;2199;Aspire 5;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;FHD;;Oechsle;2200-2600;1800-2200;2
Laptop ASUS X415EA-EB642T 14'' Intel Core i5 11va generacion 8GB 256GB SS;https://www.oechsle.pe/laptop-asus-x415ea-eb642t-14---intel-core-i5-11va-generacion-8gb-256gb-ssd-1000156084/p;4399;2199;X415EA-EB642T;ASUS;Intel;Intel Core i5;8GB;14'';SSD;256GB;IPS;;Oechsle;4200-5200;1800-2200;2
"Notebook ACER A515-54-593D 15.6"" Intel Core i5 8GB 256GB SSD";https://www.plazavea.com.pe/notebook-acer-a51554593d-15-6--intel-core-i5-8gb-256gb-ssd/p;2099;2099;A515-54-593D;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;FHD;;Plazavea;1800-2200;1800-2200;2
Laptop ASUS X415EA-EK1177W 14'' Intel Core i3 11va generacion 8GB 256GB SSD;https://www.plazavea.com.pe/laptop-asus-x415eaek1177w-14-intel-core-i3-11va-generacion-8gb-256gb-ssd/p;1799;1799;X415EA-EK1177W;ASUS;Intel;Intel Core i3;8GB;15'';SSD;256GB;FHD;DDR4;Plazavea;1400-1800;1400-1800;2
"Laptop Miray LPM-BW15-i5 15.6"" Intel Core i5-8279U 512 GB SSD 8 GB RAM Silver";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-miray-lpm-bw15-i5-15.6-intel-core-i5-8279u-512-gb-ssd-8-gb-ram-silver;2699;1599;GF63 THIN 10UC;MIRAY;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;2600-3000;1400-1800;2
Macbook Pro Apple M1 Chip 8gb Ram 256ssd Space Gray + Twelve South SuitCase;https://www.plazavea.com.pe/macbook-pro-apple-m1-chip-8gb-ram-256ssd-space-gray-twelve-south-suitcase-100180251/p;8199;7099;Pro M1 Chip;APPLE;;M1;8GB;13'';SSD;256GB;Pantalla Liquid Retina XDR;;Plazavea;7200-8200;6200-7200;3
"Laptop HP 15-dy2057la 15.6"" Intel Core i7-1165G7 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2057la-15-6-intel-core-i7-1165g7-512gb-ssd-8gb-ram;3599;3599;15-dy2057la;HP;Intel Iris Xe Graphics;Intel Core i7;8GB;15.6'';SSD;512GB;HD;DDR4;Hiraoka;3400-3800;3400-3800;3
"Laptop Hp 15-ef1020la 15.6"" Amd Ryzen 7 SSD 512Gb Ran 8Gb Win 10";https://www.oechsle.pe/laptop-hp-15-ef1020la-15-6--amd-ryzen-7-ssd-512gb-ran-8gb-win-10-1000158641/p;3590;3450;15-ef1020la;HP;AMD;AMD Ryzen 7;8GB;15.6'';SSD;512GB;HD;;Oechsle;3400-3800;3400-3800;3
Notebook HP 16-d0503la 16.1'' Intel Core i5 11va generacion 8GB 256GB SSD;https://www.plazavea.com.pe/notebook-hp-16d0503la-16-1-intel-core-i5-11va-generacion-8gb-256gb-ssd/p;4199;3399;16-d0503la;HP;NVIDIA;Intel Core i5;8GB;16.1'';SSD;256GB;;;Plazavea;3800-4200;3000-3400;3
"Laptop Acer A315-57G-78C5 15.6"" 10th Gen Intel Ci7 1065G7 256GB SSD 8GB RAM + Microsoft 365 Personal (ESD) - 15 meses";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a315-57g-78c5-15-6-10th-gen-intel-ci7-1065g7-256gb-ssd-8gb-ram-programa-esd-microsoft-365-personal-qq2-01238;3899;3199;Acer A315-57G-78C5 ;ACER;NVIDIA GeForce MX330;Intel Core i7;8GB;15.6'';SSD;256GB;FHD IPS;DDR4;Hiraoka;3800-4200;3000-3400;3
"Laptop HP 15-ef1020la 15.6"" AMD Ryzen 7 4700U 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-ef1020la-15-6-amd-ryzen-7-4700u-512gb-ssd-8gb-ram;3099;3099;HP 15-ef1020la;HP;AMD Radeon Graphics;AMD Ryzen 7;8GB;15.6'';SSD;512GB;HD;DDR4;Hiraoka;3000-3400;3000-3400;3
"Laptop HP 15-dy2057la 15.6"" Intel Core i7-1165G7 8GB RAM 512GB+32GB Optane";https://www.oechsle.pe/laptop-hp-15-dy2057la-15-6--intel-core-i7-1165g7-8gb-ram-512gb-32gb-optane/p;4199;2999;15-dy2057la;HP;Intel;Intel Core i7;8GB;15.6'';SSD ;512GB;HD;;Oechsle;3800-4200;2600-3000;3
"Laptop HP 15-dy2053la 15.6"" Intel Core i5-1135G7 256GB+16 SSD+Optane 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2053la-15-6-intel-core-i5-1135g7-256gb-16-ssd-optane-8gb-ram;2899;2899;15-dy2053la;HP;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;HD;DDR4;Hiraoka;2600-3000;2600-3000;3
"Notebook ACER A315-57G-57MY 15.6"" Intel Core i5 8GB 512GB SSD";https://www.plazavea.com.pe/notebook-acer-a31557g57my-15-6--intel-core-i5-8gb-512gb-ssd/p;2699;2699;A315-57G-57MY;ACER;NVIDIA;Intel Core i3;8GB;15.6'';SSD;256GB;FHD;;Plazavea;2600-3000;2600-3000;3
"Laptop Acer Aspire 5 15.6""Core i3 10110U 8GB RAM 256GB SSD";https://www.oechsle.pe/laptop-acer-aspire-5-15-6-core-i3-10110u-8gb-ram-256gb-ssd-1788666/p;2699;2699;A515-54-34E3;ACER;Intel;Intel Core i3;8GB;15.6'';SSD;256GB;FHD LED;DDR4;Oechsle;2600-3000;2600-3000;3
Laptop ASUS X409J-1005G1 14'' Intel Core i3 10ma generacion 4GB 128GB SS;https://www.oechsle.pe/laptop-asus-x409j-1005g1-14---intel-core-i3-10ma-generacion-4gb-128gb-ssd-1000269224/p;2239;2690;X409J-1005G1;ASUS;Intel;Intel Core i3;4GB;14'';SSD;128GB;HD;;Oechsle;2200-2600;2600-3000;3
"Laptop HP 250 G7 Core i5 1035 8GB RAM 1TB HDD 15.6"" FreeDOS";https://www.oechsle.pe/laptop-hp-250-g7-core-i5-1035-8gb-ram-1tb-hdd-15-6--freedos-1000077879/p;2799;2599;250 G7;HP;Intel;Intel Core i5;8GB;15.6'';HDD;1TB;LED;;Oechsle;2600-3000;2200-2600;3
Laptop ASUS 15 X515EA 15.6'' Ci3-1115G4 8GB RAM 256SSD;https://www.oechsle.pe/laptop-asus-15-x515ea-15-6-ci3-1115g4-8gb-ram-256ssd-2005676/p;2999;2599;90NB0TY1-M18110;ASUS;Intel;Intel Core i3;8GB;15.6'';SSD;256GB ;IPS FHD;DDR4;Oechsle;2600-3000;2200-2600;3
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 16GB RAM, 256GB SSD, FreeDOS, Garantia 12 meses";https://www.oechsle.pe/laptop-hp-14-cf2519la-14--core-i3-10110u-16gb-ram-256gb-ssd-freedos-garantia-1-a%c3%b1o-1000177066/p;3399;2599;14-CF2519LA;HP;Intel;Intel Core i3;16GB;14'';SSD;256GB;HD;;Oechsle;3000-3400;2200-2600;3
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 16GB RAM, 256GB SSD, FreeDOS, Garantia 12 meses";https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-16gb-ram-256gb-ssd-freedos-garantia-1-ano-100154691/p;2599;2599;14-CF2519LA;HP;Intel;Intel Core i3;16GB;14'';SSD;256GB;HD;;Plazavea;2200-2600;2200-2600;3
"Laptop HP 15-DW3033DX 15.6"" Laptop Intel Core i3 8GB 256GB SSD Natural Silver";https://www.oechsle.pe/laptop-hp-15-dw3033dx-15-6--laptop-intel-core-i3-8gb-256gb-ssd-natural-silver-1000244330/p;3684;2579;15-DW3033DX;HP;Intel;Intel Core i3;8GB;15.6'';SSD;256GB;FHD;;Oechsle;3400-3800;2200-2600;3
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 8GB RAM, 256GB SSD+HDD 1TB, Linux";https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-hdd-1tb-linux-100154698/p;2549;2549;Vostro 3405;DELL;AMD;AMD Ryzen 5;1TB;14'';SSD;256GB;HD;;Plazavea;2200-2600;2200-2600;3
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 16GB RAM, 256GB SSD, Linux";https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-linux-100154689/p;2549;2549;Vostro 3405;DELL;;AMD Ryzen 5;16GB;14'';SSD;256GB;HD;DDR4;Plazavea;2200-2600;2200-2600;3
"Laptop HP 15-dy2056la 15.6"" Intel Core i5-1135G7 512GB SSD 8GB RAM + Camara Web Miray CWM-1";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2056la-15-6-intel-core-i5-1135g7-512gb-ssd-8gb-ram-camara-web-miray-cwm-12;2999;2499;NobelB-WAI9B;HP;Intel UHD Graphics;Intel Core i3;8GB;14'';SSD;256GB;HD;DDR4;Hiraoka;2600-3000;2200-2600;3
"Laptop Lenovo IdeaPad 5i 14"" Intel Core i3 - 1005G1 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-5i-14-intel-core-i3-1005g1-256gb-ssd-8gb-ram;2399;2399;IdeaPad 5i;LENOVO;Intel UHD Graphics;Intel Core i3;8GB;14'';SSD;256GB;HD;DDR4;Hiraoka;2200-2600;2200-2600;3
"Laptop HP 15-dy2050la 15.6"" Intel Core i3-1115G4 256GB+16 SSD+Optane 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2050la-15-6-intel-core-i3-1115g4-256gb-16-ssd-optane-8gb-ram;2399;2399;G5 5515 - 6JHDC;HP;NVIDIA GeForce RTX 3070;AMD Ryzen 5;8GB;15.6'';SSD;512GB;HD;DDR4;Hiraoka;2200-2600;2200-2600;3
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 8GB RAM, 256GB SSD, FreeDOS, Garantia 12 meses";https://www.oechsle.pe/laptop-hp-14-cf2519la-14--core-i3-10110u-8gb-ram-256gb-ssd-freedos-garantia-1-a%c3%b1o-1000177065/p;3199;2399;14-CF2519LA;HP;Intel;Intel Core i3;8GB;14'';SSD;256GB;HD;;Oechsle;3000-3400;2200-2600;3
"HP Laptop 15-dy2056la 15.6"" Intel Core i5-1135G7 8GB RAM 512GB+32GB SSD+Optane";https://www.oechsle.pe/hp-laptop-15-dy2056la-15-6-intel-core-i5-1135g7-8gb-ram-512gb-32gb-ssd-optane-1871906/p;3549;2399;15-dy2056la;HP;Intel;Intel Core i5;8GB;15.6'';SSD;512GB;HD;;Oechsle;3400-3800;2200-2600;3
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 8GB RAM, 256GB SSD, FreeDOS, Garantia 12 meses";https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-8gb-ram-256gb-ssd-freedos-garantia-1-ano-100154694/p;2399;2399;14-CF2519LA;HP;Intel;Intel Core i3;8GB;14'';SSD;256GB;HD;;Plazavea;2200-2600;2200-2600;3
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 8GB RAM, 256GB SSD, Linux";https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-linux-100152053/p;2349;2349;Vostro 3405;DELL;AMD;AMD Ryzen 5;8GB;14'';SSD;256GB;HD;;Plazavea;2200-2600;2200-2600;3
"HP Laptop 15-ef2507la 15.6"" AMD Ryzen 5 5500U 8GB DDR4 RAM 512 GB SSD Natural silver";https://www.oechsle.pe/hp-laptop-15-ef2507la-15-6-amd-ryzen-5-5500u-8gb-ddr4-ram-512-gb-ssd-natural-silver-2026534/p;2699;2299;15-ef2507la;HP;AMD;AMD Ryzen 5;8GB;15.6'';SSD;512GB;HD;DDR4;Oechsle;2600-3000;2200-2600;3
"Laptop HP 15-EF1012LA Ryzen 5-4500U, 8GB, SSD 256GB, HD 15.6"", W10H, 1Y (310H8LA)";https://www.oechsle.pe/laptop-hp-15-ef1012la-ryzen-5-4500u-8gb-ssd-256gb-hd-15-6--w10h-1y--310h8la--1000267441/p;2999;2249;15-EF1012LA;HP;AMD;AMD Ryzen 5;8GB;15.6'';SSD;256GB;HD;;Oechsle;2600-3000;2200-2600;3
Notebook LENOVO IdeaPad 3 15IIL05 15.6'' CI5 1035G4 8GB 1TB;https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-15iil05-15-6-ci5-1035g4-8gb-1tb/p;2249;2249;IDEAPAD 3 15IILO5;LENOVO;Intel;Intel Core i5;8GB;15.6'';HDD;1TB;HD;;Plazavea;2200-2600;2200-2600;3
"Laptop Dell Inspiron 3515 D6DM6 15.6"" AMD Ryzen 5-3450U 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-dell-inspiron-3515-d6dm6-15-6-amd-ryzen-5-3450u-256gb-ssd-8gb-ram;2299;2199;Inspiron 3511 H7W58;DELL;AMD Radeon Graphics;Intel Core i3;8GB;15.6'';SSD;512GB;HD;DDR4;Hiraoka;2200-2600;1800-2200;3
Notebook HP 15-ef2507la 15.6'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.plazavea.com.pe/notebook-hp-15ef2507la-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p;2699;2199;15-ef2507la;HP;AMD;AMD Ryzen 5;8GB;15.6'';SSD/HDD;512GB ;HD;;Plazavea;2600-3000;1800-2200;3
Laptop ACER A515-54-585N 15.6'' Intel Core i5 10ma generacion 8GB 256GB SS;https://www.oechsle.pe/laptop-acer-a515-54-585n-15-6---intel-core-i5-10ma-generacion-8gb-256gb-ssd-1000243238/p;2999;2199;A515-54-585N;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;HD;;Oechsle;2600-3000;1800-2200;3
"Laptop Dell Inspiron 15 3501 15.6"" Core i3 1115G4 256GB SSD 8GB RAM FreeDos   JJ7H9";https://www.oechsle.pe/laptop-dell-inspiron-15-3501-15-6--core-i3-1115g4-256gb-ssd-8gb-ram-freedos---jj7h9-1000215945/p;2999;2199;Inspiron 15 3501;DELL;Intel;Intel Core i3;8GB;15.6'';SSD;256GB;LED;;Oechsle;2600-3000;1800-2200;3
"Laptop Acer 15.6"" Core i5 10210U 8GB RAM 256GB SSD";https://www.oechsle.pe/laptop-acer-15-6-core-i5-10210u-8gb-ram-256gb-ssd-2017263/p;3139;2199;A515-54-585N;ACER;Intel;Intel Core i5;8GB;15.6'';SSD;256GB;HD;DDR4;Oechsle;3000-3400;1800-2200;3
"Laptop HP 15-ef1009la 15.6"" AMD Ryzen 3 4300U QC 256GB SSD 4GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-ef1009la-15-6-amd-ryzen-3-4300u-qc-256gb-ssd-4gb-ram;2149;2149;15-ef1009la;HP;AMD Radeon Graphics;AMD Ryzen 3;4GB;15.6'';SSD;256GB;HD;DDR4;Hiraoka;1800-2200;1800-2200;3
"Laptop HP 14-CF2519LA 14"" Core i3 8GB RAM 256GB SSD FreeDos";https://www.oechsle.pe/laptop-hp-14-cf2519la-14--core-i3-8gb-ram-256gb-ssd-freedos-1000150066/p;2350;1999;14-CF2519LA;HP;Intel;Intel Core i3;8GB;14'';SSD;256GB;LED;;Oechsle;2200-2600;1800-2200;3
"Laptop Huawei MateBook D15 15.6"" FHD IPS i3-10110U 256GB SSD 8GB RAM Windows Home";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-huawei-matebook-d15-bohrb-wai9a-15-6-intel-core-i3-10110u-256gb-ssd-8gb-ram;2999;1999;MateBook D15;HUAWEI;Intel UHD Graphics;Intel Core i3;8GB;15.6'';SSD;256GB;FHD IPS;DDR4;Hiraoka;2600-3000;1800-2200;3
"Laptop HP 14-CF2519LA 14"" Core i3 8GB RAM 256GB SSD FreeDos";https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-8gb-ram-256gb-ssd-freedos-100136293/p;1999;1999;14-CF2519LA;HP;Intel;Intel Core i3;8GB;14'';SSD;256GB;LED;;Plazavea;1800-2200;1800-2200;3
"Laptop Dell Inspiron 3511 H7W58 15.6"" Intel Core i3-1115G4 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-dell-inspiron-3511-h7w58-15-6-intel-core-i3-1115g4-256gb-ssd-8gb-ram;2439;1899;Inspiron 3511 H7W58;DELL;Intel UHD Graphics;Intel Core i3;8GB;14'';SSD;256GB;HD;DDR4;Hiraoka;2200-2600;1800-2200;3
"Laptop Dell Inspiron 15.6"" I3501_i3TGL8256SMW10Hs_521 Corel I3-1115G4 8GB RAM 256GB SSD";https://www.oechsle.pe/laptop-dell-inspiron-15-6-i3501_i3tgl8256smw10hs_521-corel-i3-1115g4-8gb-ram-256gb-ssd-1913301/p;2599;1899;I3501_i3TGL8256SMW10Hs_521;DELL;Intel;Intel Core i3;8GB;15.6'';SSD;256GB;UHD;;Oechsle;2200-2600;1800-2200;3
"Laptop HP 250 G7 Ci3-1005G1 8GB RAM 256GB SSD 15.6"" HD FREEDOS";https://www.oechsle.pe/laptop-hp-250-g7-ci3-1005g1-8gb-ram-256gb-ssd-15-6--hd-freedos-1000124256/p;2999;1899;HP-250-G7;HP;Intel;Intel Core i3;8GB;15.6'';SSD;256GB;HD;;Oechsle;2600-3000;1800-2200;3
Laptop ASUS X415EA-EK1177W 14'' Intel Core i3 9na generacion 8GB 256GB SS;https://www.oechsle.pe/laptop-asus-x415ea-ek1177w-14---intel-core-i3-9na-generacion-8gb-256gb-ssd-1000194810/p;2399;1799;X415EA-EK1177W;ASUS;Intel;Intel Core i3;8GB;14'';SSD;256GB;FHD;;Oechsle;2200-2600;1400-1800;3
