Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
"Laptop Lenovo YOGA Slim 9i 14"" Intel Core i7 - 1165G7 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-slim-9i-14-intel-core-i7-1165g7-512gb-ssd-16gb-ram;7899;7899;YOGA Slim 9i 14;LENOVO;Intel Iris Xe Graphics;Intel Core i7;16GB;14'';SSD;512GB;UHD;DDR4;Hiraoka;7200-8200;7200-8200;0
Laptop ASUS Zenbook Flip S 13.3'' UX371EA Ci7-1165G7 16GB RAM 1TB SSD;https://www.oechsle.pe/laptop-asus-zenbook-flip-s-13-3-ux371ea-ci7-1165g7-16gb-ram-1tb-ssd-1973616/p;7699;7599;UX371EA-HL003T;ASUS;Intel;Intel Core i7;16GB;13.3'';SSD;1TB;OLED;;Oechsle;7200-8200;7200-8200;0
"Laptop Gamer Lenovo Legion 5 Pro 16"" AMD Ryzen 7 - 5800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-legion-5-pro-16-amd-ryzen-7-5800h-512gb-ssd-16gb-ram;7699;7499;G15 5511 JPMK1;LENOVO;NVIDIA GeForce RTX 3050;Intel Core i7;16GB;15.6'';SSD;512GB;IPS;DDR4;Hiraoka;7200-8200;7200-8200;0
"Laptop Gamer Lenovo Legion 5 Pro  16"" WQXGA 165Hz  AMD Ryzen 7  16GB RAM  512GB SSD";https://www.oechsle.pe/laptop-gamer-lenovo-legion-5-pro-16-wqxga-165hz-amd-ryzen-7-16gb-ram-512gb-ssd-1877165/p;7899;7499;WQXGA 165Hz;LENOVO;AMD;AMD Ryzen 7;16GB;16'';SSD;512GB;IPS;;Oechsle;7200-8200;7200-8200;0
Laptop ASUS ZenBook Duo 14 UX482EG 14'' Intel Core i7-1165G7 16GB RAM 1TB SSD 2GB Video;https://www.oechsle.pe/asus-notebook-ux482eg-ka151t-14-intel-core-i7-1165g7-16gb-ram-1tb-ssd-2gb-video-1870145/p;7599;7399;UX482EG-KA151T;ASUS;Intel;Intel Core i7;16GB;14'';SSD;1TB;LED IPS;;Oechsle;7200-8200;7200-8200;0
"Laptop Gamer MSI Katana GF76 12UE 17.3"" Intel Core i7-12700H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-katana-gf76-12ue-17-3-intel-core-i7-12700h-512gb-ssd-8gb-ram;7699;7299;Katana GF76 12UE;MSI;NVIDIA GeForce RTX 3060;Intel Core i7;8GB;17.3'';SSD;512GB;FHD;DDR4;Hiraoka;7200-8200;7200-8200;0
Laptop ASUS Zenbook Duo 14 UX482EGR 14'' I7-1195G7 1TB SSD 16GB RAM MX450;https://www.oechsle.pe/laptop-asus-zenbook-duo-14-ux482egr-14---i7-1195g7-1tb-ssd-16gb-ram-mx450/p;9099;7199;UX482EGR-HY335W;ASUS;Intel;Intel Core i7;16GB;14'';SSD;1TB;FHD;;Oechsle;8200-9200;6200-7200;0
"Laptop Gamer MSI Katana GF66 11UE 15.6"" Intel Core i7-11800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-katana-gf66-11ue-15-6-intel-core-i7-11800h-512gb-ssd-16gb-ram;7599;6999;Katana GF66 11UE;MSI;NVIDIA GeForce RTX 3060;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;7200-8200;6200-7200;0
"Laptop Asus ZenBook Flip S13 OLED UX371EA 13.3"" Intel Core i7-1165G7 1TB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-ux371ea-hl711w-13-3-intel-core-i7-1165g7-1tb-ssd-16gb-ram;7799;6999;ZenBook Flip S13 OLED UX371EA;ASUS;;Intel Core i7;8GB;15.6'';SSD;1TB;OLED;DDR4;Hiraoka;7200-8200;6200-7200;0
"Laptop Asus ROG Zephyrus M16 GU603HE-K8014T 16"" Intel Core i7-11800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-rog-zephyrus-m16-gu603he-k8014t-16-intel-core-i7-11800h-512gb-ssd-16gb-ram;8299;6999;ROG Zephyrus M16 GU603HE-K8014T ;ASUS;NVIDIA GeForce RTX 3050;Intel Core i7;16GB;16'';SSD/M2;512GB;FHD;DDR4;Hiraoka;8200-9200;6200-7200;0
